Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Michael Thomas,2019,NO,16,149,"1,725",11.58,107.8,49,9,91,185,579
Christian McCaffrey,2019,CAR,16,116,"1,005",8.66,62.8,28,4,58,142,987
Keenan Allen,2019,LAC,16,104,"1,199",11.53,74.9,45,6,63,149,369
DeAndre Hopkins,2019,HOU,15,104,"1,165",11.2,77.7,43t,7,68,150,387
Julian Edelman,2019,NE,16,100,"1,117",11.17,69.8,44,6,54,153,320
Julio Jones,2019,ATL,15,99,"1,394",14.08,92.9,54t,6,77,157,342
Allen Robinson,2019,CHI,16,98,"1,147",11.7,71.7,49,7,63,154,272
Travis Kelce,2019,KC,16,97,"1,229",12.67,76.8,47,5,66,136,410
Cooper Kupp,2019,LA,16,94,"1,161",12.35,72.6,66,10,51,134,538
Austin Ekeler,2019,LAC,16,92,993,10.79,62.1,84t,8,42,108,940
Tyler Boyd,2019,CIN,16,90,"1,046",11.62,65.4,47,5,51,148,348
Darren Waller,2019,OAK,16,90,"1,145",12.72,71.6,75,3,53,117,578
Robert Woods,2019,LA,15,90,"1,134",12.6,75.6,48,2,54,139,576
Zach Ertz,2019,PHI,15,88,916,10.41,61.1,30,6,50,135,255
D.J. Moore,2019,CAR,15,87,"1,175",13.51,78.3,52t,4,63,135,390
Chris Godwin,2019,TB,14,86,"1,333",15.5,95.2,71t,9,63,121,577
George Kittle,2019,SF,14,85,"1,053",12.39,75.2,61t,5,53,107,602
Davante Adams,2019,GB,12,83,997,12.01,83.1,58,5,54,127,388
Jarvis Landry,2019,CLE,16,83,"1,174",14.14,73.4,65,6,55,138,436
Tyler Lockett,2019,SEA,16,82,"1,057",12.89,66.1,44t,8,53,110,301
Alvin Kamara,2019,NO,14,81,533,6.58,38.1,41,1,28,97,557
Tarik Cohen,2019,CHI,16,79,456,5.77,28.5,31,3,18,104,429
Amari Cooper,2019,DAL,16,79,"1,189",15.05,74.3,53t,8,54,119,240
Jamison Crowder,2019,NYJ,16,78,833,10.68,52.1,41,6,41,122,353
Leonard Fournette,2019,JAX,15,76,522,6.87,34.8,27,0,23,100,558
Larry Fitzgerald,2019,ARI,16,75,804,10.72,50.2,54,4,40,109,343
Austin Hooper,2019,ATL,13,75,787,10.49,60.5,35,6,41,97,335
Odell Beckham Jr.,2019,CLE,16,74,"1,035",13.99,64.7,89t,4,44,133,326
D.J. Chark,2019,JAX,15,73,"1,008",13.81,67.2,69,8,42,118,316
John Brown,2019,BUF,15,72,"1,060",14.72,70.7,53t,6,53,115,210
DeVante Parker,2019,MIA,16,72,"1,202",16.69,75.1,51,9,58,128,263
Courtland Sutton,2019,DEN,16,72,"1,112",15.44,69.5,70t,6,50,124,352
James White,2019,NE,15,72,645,8.96,43,59,5,31,95,530
Tyler Higbee,2019,LA,15,69,734,10.64,48.9,33,3,36,89,390
Christian Kirk,2019,ARI,13,68,709,10.43,54.5,69t,3,31,108,286
Cole Beasley,2019,BUF,15,67,778,11.61,51.9,51,6,37,106,330
Mike Evans,2019,TB,13,67,"1,157",17.27,89,67t,8,54,118,261
Le'Veon Bell,2019,NYJ,15,66,461,6.98,30.7,23,1,20,78,440
Michael Gallup,2019,DAL,14,66,"1,107",16.77,79.1,62,6,50,113,333
Emmanuel Sanders,2019,DEN/SF,17,66,869,13.17,51.1,75t,5,41,97,237
Dede Westbrook,2019,JAX,15,66,660,10,44,39,3,31,101,311
Kenny Golladay,2019,DET,16,65,"1,190",18.31,74.4,75t,11,52,116,304
Mark Andrews,2019,BAL,15,64,852,13.31,56.8,51,10,44,98,291
Stefon Diggs,2019,MIN,15,63,"1,130",17.94,75.3,66,6,41,94,302
Calvin Ridley,2019,ATL,13,63,866,13.75,66.6,36,7,47,93,138
Jason Witten,2019,DAL,16,63,529,8.4,33.1,33,4,27,83,162
Danny Amendola,2019,DET,15,62,678,10.94,45.2,47t,1,36,97,207
Marvin Jones,2019,DET,13,62,779,12.56,59.9,47,9,41,91,106
Devonta Freeman,2019,ATL,14,59,410,6.95,29.3,28,4,17,70,344
Diontae Johnson,2019,PIT,16,59,680,11.53,42.5,45t,5,31,92,305
Mohamed Sanu,2019,ATL/NE,15,59,520,8.81,34.7,28,2,30,89,194
Dallas Goedert,2019,PHI,15,58,607,10.47,40.5,28t,5,33,87,334
Tyreek Hill,2019,KC,12,58,860,14.83,71.7,57t,7,39,89,280
Terry McLaurin,2019,WAS,14,58,919,15.84,65.6,75t,7,43,93,217
D.K. Metcalf,2019,SEA,16,58,900,15.52,56.2,54,7,39,100,276
Deebo Samuel,2019,SF,15,57,802,14.07,53.5,42t,3,32,81,473
Sterling Shepard,2019,NYG,10,57,576,10.11,57.6,36,3,29,83,179
Randall Cobb,2019,DAL,15,55,828,15.05,55.2,59,3,41,83,329
Hunter Henry,2019,LAC,12,55,652,11.85,54.3,30t,5,36,76,159
Ezekiel Elliott,2019,DAL,16,54,420,7.78,26.2,27,2,21,71,395
Curtis Samuel,2019,CAR,16,54,627,11.61,39.2,44,6,36,105,153
Dalvin Cook,2019,MIN,14,53,519,9.79,37.1,31,0,26,63,591
Robby Anderson,2019,NYJ,16,52,779,14.98,48.7,92t,5,35,96,193
Saquon Barkley,2019,NYG,13,52,438,8.42,33.7,65,2,14,73,438
A.J. Brown,2019,TEN,16,52,"1,051",20.21,65.7,91t,8,39,84,465
Anthony Miller,2019,CHI,16,52,656,12.62,41,35,2,34,85,217
Greg Olsen,2019,CAR,14,52,597,11.48,42.6,41,2,34,82,201
Sammy Watkins,2019,KC,14,52,673,12.94,48.1,68t,3,30,90,297
Mike Gesicki,2019,MIA,16,51,570,11.18,35.6,34,5,25,89,175
Kenyan Drake,2019,MIA/ARI,14,50,345,6.9,24.6,26,0,15,68,424
Miles Sanders,2019,PHI,16,50,509,10.18,31.8,45,3,19,63,413
Will Fuller,2019,HOU,11,49,670,13.67,60.9,54,3,26,71,219
Russell Gage,2019,ATL,16,49,446,9.1,27.9,19,1,25,74,151
Aaron Jones,2019,GB,16,49,474,9.67,29.6,67t,3,18,68,437
Hunter Renfrow,2019,OAK,13,49,605,12.35,46.5,65t,4,31,71,301
Golden Tate,2019,NYG,11,49,676,13.8,61.5,64t,6,30,85,284
Mike Williams,2019,LAC,15,49,"1,001",20.43,66.7,56,2,41,90,187
Darius Slayton,2019,NYG,14,48,740,15.42,52.9,55t,8,32,84,192
Chris Conley,2019,JAX,16,47,775,16.49,48.4,70t,5,36,90,240
Jaylen Samuels,2019,PIT,14,47,305,6.49,21.8,27,1,19,57,366
Marquise Brown,2019,BAL,14,46,584,12.7,41.7,83t,7,24,71,226
T.Y. Hilton,2019,IND,10,45,501,11.13,50.1,35,5,24,68,213
Evan Engram,2019,NYG,8,44,467,10.61,58.4,75t,3,23,68,252
Nyheim Hines,2019,IND,16,44,320,7.27,20,21,0,15,58,315
Duke Johnson,2019,HOU,16,44,410,9.32,25.6,21,3,18,62,361
James Washington,2019,PIT,15,44,735,16.7,49,79t,3,31,80,185
Jared Cook,2019,NO,14,43,705,16.4,50.4,61t,9,32,65,254
Corey Davis,2019,TEN,15,43,601,13.98,40.1,38,2,33,69,217
Jack Doyle,2019,IND,16,43,448,10.42,28,23,4,29,72,216
Tyler Eifert,2019,CIN,16,43,436,10.14,27.2,27,3,24,63,112
Alex Erickson,2019,CIN,16,43,529,12.3,33.1,52,0,26,78,227
Royce Freeman,2019,DEN,16,43,256,5.95,16,19,1,10,50,259
Alshon Jeffery,2019,PHI,10,43,490,11.4,49,38,4,36,73,116
Albert Wilson,2019,MIA,13,43,351,8.16,27,35,1,22,62,179
Brandin Cooks,2019,LA,14,42,583,13.88,41.6,57,2,32,72,169
Melvin Gordon,2019,LAC,12,42,296,7.05,24.7,25,1,11,55,321
JuJu Smith-Schuster,2019,PIT,12,42,552,13.14,46,76t,3,23,70,222
Chris Thompson,2019,WAS,11,42,378,9,34.4,39,0,16,58,337
Tyrell Williams,2019,OAK,14,42,651,15.5,46.5,46t,6,33,64,190
Jacob Hollister,2019,SEA,11,41,349,8.51,31.7,22,3,16,59,169
Zach Pascal,2019,IND,16,41,607,14.8,37.9,37,5,29,72,239
Noah Fant,2019,DEN,16,40,562,14.05,35.1,75t,3,23,66,330
Kenny Stills,2019,HOU,13,40,561,14.03,43.1,45,4,27,55,144
Auden Tate,2019,CIN,12,40,575,14.38,47.9,33,1,29,80,134
Nelson Agholor,2019,PHI,11,39,363,9.31,33,43,3,17,69,132
Kyle Rudolph,2019,MIN,16,39,367,9.41,22.9,32t,6,24,48,190
Jamaal Williams,2019,GB,14,39,253,6.49,18.1,17,5,16,45,279
Jimmy Graham,2019,GB,16,38,447,11.76,27.9,48,3,23,60,246
Vance McDonald,2019,PIT,14,38,273,7.18,19.5,22,3,12,55,172
Chris Carson,2019,SEA,15,37,266,7.19,17.7,21,2,10,47,317
Gerald Everett,2019,LA,13,37,408,11.03,31.4,33,2,22,60,178
Adam Humphries,2019,TEN,12,37,374,10.11,31.2,30,2,20,47,120
Kareem Hunt,2019,CLE,8,37,285,7.7,35.6,29,1,17,44,276
Jordan Akins,2019,HOU,16,36,418,11.61,26.1,53t,2,21,55,246
Cameron Brate,2019,TB,16,36,311,8.64,19.4,37,4,21,55,90
Nick Chubb,2019,CLE,16,36,278,7.72,17.4,32,0,13,49,318
David Johnson,2019,ARI,13,36,370,10.28,28.5,31,4,17,47,226
Breshad Perriman,2019,TB,14,36,645,17.92,46.1,44,6,29,69,127
Jalen Richard,2019,OAK,16,36,323,8.97,20.2,33,0,15,43,236
Irv Smith,2019,MIN,16,36,311,8.64,19.4,29,2,17,47,136
Demaryius Thomas,2019,NYJ,11,36,433,12.03,39.4,47,1,22,58,170
DeAndre Washington,2019,OAK,16,36,292,8.11,18.2,28,0,10,41,246
Allen Lazard,2019,GB,16,35,477,13.63,29.8,43,3,24,52,131
Phillip Lindsay,2019,DEN,16,35,196,5.6,12.2,36,0,9,48,243
Joe Mixon,2019,CIN,16,35,287,8.2,17.9,33,3,14,45,331
Dare Ogunbowale,2019,TB,16,35,286,8.17,17.9,21,0,14,46,207
Jonnu Smith,2019,TEN,16,35,439,12.54,27.4,57,3,16,44,273
Geronimo Allison,2019,GB,16,34,287,8.44,17.9,31,2,16,55,110
James Conner,2019,PIT,10,34,251,7.38,25.1,26t,3,14,38,298
Darren Fells,2019,HOU,16,34,341,10.03,21.3,24,7,22,48,168
Ryan Griffin,2019,NYJ,13,34,320,9.41,24.6,45,5,19,41,182
O.J. Howard,2019,TB,14,34,459,13.5,32.8,33,1,23,53,150
J.D. McKissic,2019,DET,16,34,233,6.85,14.6,26t,1,7,42,237
Latavius Murray,2019,NO,16,34,235,6.91,14.7,30,1,9,43,284
Steven Sims,2019,WAS,16,34,310,9.12,19.4,65,4,18,56,172
Damiere Byrd,2019,ARI,11,32,359,11.22,32.6,58,1,16,46,150
T.J. Hockenson,2019,DET,12,32,367,11.47,30.6,39,2,19,59,200
Allen Hurns,2019,MIA,14,32,416,13,29.7,27,2,18,47,96
Demarcus Robinson,2019,KC,16,32,449,14.03,28.1,44t,4,19,55,103
Preston Williams,2019,MIA,8,32,428,13.38,53.5,35,3,24,60,61
Nick Boyle,2019,BAL,16,31,321,10.35,20.1,35,2,13,43,160
Eric Ebron,2019,IND,11,31,375,12.1,34.1,48t,3,20,52,155
Todd Gurley,2019,LA,15,31,207,6.68,13.8,23,2,8,49,196
Blake Jarwin,2019,DAL,16,31,365,11.77,22.8,42t,3,17,41,157
Olabisi Johnson,2019,MIN,16,31,294,9.48,18.4,23,3,17,45,68
Ronald Jones II,2019,TB,16,31,309,9.97,19.3,41,0,12,40,294
Kaden Smith,2019,NYG,9,31,268,8.65,29.8,32,3,12,42,91
Willie Snead,2019,BAL,16,31,339,10.94,21.2,50t,5,20,46,126
Giovani Bernard,2019,CIN,16,30,234,7.8,14.6,35,0,7,43,220
Kendrick Bourne,2019,SF,16,30,358,11.93,22.4,30,5,23,44,122
Ted Ginn Jr.,2019,NO,16,30,421,14.03,26.3,45,2,20,56,48
Kelvin Harmon,2019,WAS,16,30,365,12.17,22.8,30,0,16,44,94
Hayden Hurst,2019,BAL,16,30,349,11.63,21.8,61t,2,16,39,148
Adam Thielen,2019,MIN,10,30,418,13.93,41.8,44,6,18,48,117
Damien Williams,2019,KC,11,30,213,7.1,19.4,32,2,10,37,230
Phillip Dorsett,2019,NE,14,29,397,13.69,28.4,58t,5,17,54,79
Taylor Gabriel,2019,CHI,9,29,353,12.17,39.2,53,4,17,48,79
Devin Singletary,2019,BUF,12,29,194,6.69,16.2,49,2,5,41,193
DaeSean Hamilton,2019,DEN,16,28,297,10.61,18.6,28,1,19,52,128
Dawson Knox,2019,BUF,15,28,388,13.86,25.9,49,2,15,50,144
LeSean McCoy,2019,KC,13,28,181,6.46,13.9,23,1,5,34,236
Paul Richardson,2019,WAS,10,28,245,8.75,24.5,22,2,13,42,50
John Ross,2019,CIN,8,28,506,18.07,63.2,66t,3,22,56,198
Greg Ward,2019,PHI,7,28,254,9.07,36.3,38,1,18,40,98
Jarius Wright,2019,CAR,16,28,296,10.57,18.5,33,0,16,58,89
Rex Burkhead,2019,NE,13,27,279,10.33,21.5,32,0,10,38,229
Josh Gordon,2019,NE/SEA,11,27,426,15.78,38.7,58,1,16,47,149
Zay Jones,2019,BUF/OAK,15,27,216,8,14.4,23,0,10,45,77
Isaiah McKenzie,2019,BUF,15,27,254,9.41,16.9,46,1,12,39,206
C.J. Uzomah,2019,CIN,16,27,242,8.96,15.1,36,2,12,40,135
Mecole Hardman,2019,KC,16,26,538,20.69,33.6,83t,6,18,41,292
Mark Ingram,2019,BAL,15,26,247,9.5,16.5,25t,5,16,29,220
Jakobi Meyers,2019,NE,15,26,359,13.81,23.9,35,0,17,41,114
Trey Quinn,2019,WAS,12,26,198,7.62,16.5,19,1,10,47,61
Jeremy Sprinkle,2019,WAS,16,26,241,9.27,15.1,23,1,13,40,91
Marquez Valdes-Scantling,2019,GB,16,26,452,17.38,28.2,74t,2,14,56,155
Pharoh Cooper,2019,ARI,12,25,243,9.72,20.2,28,1,10,33,70
Josh Hill,2019,NO,16,25,226,9.04,14.1,29,3,13,35,159
Dion Lewis,2019,TEN,16,25,164,6.56,10.2,24,1,7,32,193
David Montgomery,2019,CHI,16,25,185,7.4,11.6,30,1,7,35,156
Tajae Sharpe,2019,TEN,15,25,329,13.16,21.9,47,4,20,35,58
Keelan Cole,2019,JAX,16,24,361,15.04,22.6,55,3,19,35,99
Ty Johnson,2019,DET,16,24,109,4.54,6.8,13,0,4,31,93
Cody Latimer,2019,NYG,15,24,300,12.5,20,43,2,19,42,69
Boston Scott,2019,PHI,11,24,204,8.5,18.6,39,0,10,26,273
Will Dissly,2019,SEA,6,23,262,11.39,43.7,38,4,14,27,70
Isaiah Ford,2019,MIA,8,23,244,10.61,30.5,28,0,16,35,86
Bennie Fowler,2019,NYG,8,23,193,8.39,24.1,17,0,12,36,29
Patrick Laird,2019,MIA,15,23,204,8.87,13.6,21,0,13,30,176
Keke Coutee,2019,HOU,9,22,254,11.55,28.2,51,0,10,36,140
Tevin Coleman,2019,SF,14,21,180,8.57,12.9,37,1,9,30,204
KeeSean Johnson,2019,ARI,10,21,187,8.9,18.7,31,1,10,42,43
Foster Moreau,2019,OAK,13,21,174,8.29,13.4,23,5,14,25,97
Josh Reynolds,2019,LA,16,21,326,15.52,20.4,31t,1,15,43,139
Seth Roberts,2019,BAL,16,21,271,12.9,16.9,33t,2,18,35,70
Delanie Walker,2019,TEN,7,21,215,10.24,30.7,29,2,11,31,66
Josh Jacobs,2019,OAK,13,20,166,8.3,12.8,28,0,8,27,183
Kyle Juszczyk,2019,SF,12,20,239,11.95,19.9,49,1,11,24,157
Matt Breida,2019,SF,13,19,120,6.32,9.2,17,1,6,22,127
Jakeem Grant,2019,MIA,10,19,164,8.63,16.4,18,0,9,33,87
Justin Hardy,2019,ATL,16,19,195,10.26,12.2,23,0,9,26,81
Taysom Hill,2019,NO,16,19,234,12.32,14.6,45t,6,14,22,149
Parris Campbell,2019,IND,7,18,127,7.06,18.1,27,1,6,24,106
Charles Clay,2019,ARI,15,18,237,13.17,15.8,47,1,12,24,95
Rhett Ellison,2019,NYG,10,18,167,9.28,16.7,31,1,4,28,83
Derrick Henry,2019,TEN,15,18,206,11.44,13.7,75t,2,4,24,236
Tre'Quan Smith,2019,NO,11,18,234,13,21.3,32,5,17,25,115
Javon Wims,2019,CHI,16,18,186,10.33,11.6,37,1,9,39,45
C.J. Ham,2019,MIN,16,17,149,8.76,9.3,36,1,6,26,125
Marcus Johnson,2019,IND,8,17,277,16.29,34.6,50,2,12,33,43
David Moore,2019,SEA,14,17,301,17.71,21.5,60t,2,14,34,128
Adrian Peterson,2019,WAS,15,17,142,8.35,9.5,22,0,7,23,161
Vyncint Smith,2019,NYJ,13,17,225,13.24,17.3,37,0,11,31,105
Nick Vannett,2019,SEA/PIT,16,17,166,9.76,10.4,18,0,5,22,66
Benjamin Watson,2019,NE,10,17,173,10.18,17.3,26,0,9,24,83
Peyton Barber,2019,TB,16,16,115,7.19,7.2,16,1,4,24,118
Jaron Brown,2019,SEA,14,16,220,13.75,15.7,48,2,10,28,59
Jesse James,2019,DET,16,16,142,8.88,8.9,23,0,8,27,65
Tim Patrick,2019,DEN,8,16,218,13.63,27.2,38,0,14,31,38
Chester Rogers,2019,IND,12,16,179,11.19,14.9,27,2,11,28,69
Ian Thomas,2019,CAR,16,16,136,8.5,8.5,19,1,10,30,77
Logan Thomas,2019,DET,16,16,173,10.81,10.8,17,1,10,28,77
Ameer Abdullah,2019,MIN,16,15,88,5.87,5.5,16t,1,5,21,79
Ross Dwelley,2019,SF,16,15,91,6.07,5.7,25,2,8,22,40
Demetrius Harris,2019,CLE,15,15,149,9.93,9.9,23,3,10,27,68
Marcedes Lewis,2019,GB,16,15,156,10.4,9.8,25,1,8,19,82
Tony Pollard,2019,DAL,15,15,107,7.13,7.1,21t,1,4,20,135
Malik Turner,2019,SEA,15,15,245,16.33,16.3,33t,1,10,22,101
Mark Walton,2019,MIA,7,15,89,5.93,12.7,18,0,3,21,106
Justin Watson,2019,TB,16,15,159,10.6,9.9,17t,2,10,26,14
Darrel Williams,2019,KC,12,15,167,11.13,13.9,52,1,7,19,179
Maxx Williams,2019,ARI,16,15,202,13.47,12.6,28,1,11,19,104
Ryquell Armstead,2019,JAX,16,14,144,10.29,9,31,2,9,24,112
Kalen Ballage,2019,MIA,12,14,63,4.5,5.2,13,0,4,24,87
Trey Burton,2019,CHI,8,14,84,6,10.5,16,0,5,24,36
Anthony Firkser,2019,TEN,15,14,204,14.57,13.6,39,1,9,24,71
Jeff Heuerman,2019,DEN,14,14,114,8.14,8.1,26,1,9,20,42
Marlon Mack,2019,IND,14,14,82,5.86,5.9,14,0,2,17,80
Raheem Mostert,2019,SF,16,14,180,12.86,11.2,39t,2,6,22,155
James O'Shaughnessy,2019,JAX,5,14,153,10.93,30.6,35,2,7,20,81
Ricky Seals-Jones,2019,CLE,14,14,229,16.36,16.4,59,4,10,22,95
Tavon Austin,2019,DAL,14,13,177,13.62,12.6,59t,1,8,24,85
Miles Boykin,2019,BAL,16,13,198,15.23,12.4,50,3,10,22,12
Derek Carrier,2019,OAK,16,13,108,8.31,6.8,25,1,4,19,51
Frank Gore,2019,BUF,16,13,100,7.69,6.2,18,0,5,16,88
Matt LaCosse,2019,NE,11,13,131,10.08,11.9,24,1,6,19,46
Scott Miller,2019,TB,10,13,200,15.38,20,48,1,5,26,36
Ty Montgomery,2019,NYJ,16,13,90,6.92,5.6,21,0,3,17,94
Nick O'Leary,2019,MIA/JAX,12,13,109,8.38,9.1,19,1,4,18,39
Geoff Swaim,2019,JAX,6,13,65,5,10.8,9,0,1,17,41
T.J. Yeldon,2019,BUF,6,13,124,9.54,20.7,23,0,6,15,119
Seth Devalve,2019,JAX,12,12,140,11.67,11.7,20,0,7,18,61
Chase Edmonds,2019,ARI,13,12,105,8.75,8.1,31,1,5,21,105
Marquise Goodwin,2019,SF,9,12,186,15.5,20.7,38t,1,10,21,33
N'Keal Harry,2019,NE,7,12,105,8.75,15,18,2,7,24,42
Dontrell Hilliard,2019,CLE,14,12,92,7.67,6.6,19,0,4,15,103
Dontrelle Inman,2019,LAC/IND,7,12,181,15.08,25.9,28,0,9,21,30
Jake Kumerow,2019,GB,14,12,219,18.25,15.6,49,1,8,21,85
Sony Michel,2019,NE,16,12,94,7.83,5.9,19,0,7,20,121
Byron Pringle,2019,KC,16,12,170,14.17,10.6,28,1,7,16,63
Damion Ratley,2019,CLE,13,12,200,16.67,15.4,46t,1,11,24,47
D'haquille Williams,2019,BUF,4,12,166,13.83,41.5,41,1,8,19,50
Christian Blake,2019,ATL,9,11,91,8.27,10.1,13,0,5,24,24
DeAndre Carter,2019,HOU,16,11,162,14.73,10.1,46,0,6,14,57
Keelan Doss,2019,OAK,8,11,133,12.09,16.6,31,0,6,14,57
Wayne Gallman,2019,NYG,10,11,102,9.27,10.2,21,1,4,15,104
Travis Homer,2019,SEA,16,11,56,5.09,3.5,11,0,3,13,60
Cordarrelle Patterson,2019,CHI,16,11,83,7.55,5.2,33,0,3,17,72
Dante Pettis,2019,SF,11,11,109,9.91,9.9,21t,2,7,24,23
Ito Smith,2019,ATL,7,11,87,7.91,12.4,11,0,2,14,72
J.J. Arcega-Whiteside,2019,PHI,16,10,169,16.9,10.6,30,1,7,22,16
Vernon Davis,2019,WAS,4,10,123,12.3,30.8,48t,1,4,19,80
Brian Hill,2019,ATL,12,10,69,6.9,5.8,12,1,4,14,54
Mack Hollins,2019,PHI/MIA,16,10,125,12.5,7.8,20,0,7,23,33
Jordan Howard,2019,PHI,10,10,69,6.9,6.9,20t,1,3,14,69
Carlos Hyde,2019,HOU,16,10,42,4.2,2.6,14,0,2,16,51
Kerryon Johnson,2019,DET,8,10,127,12.7,15.9,36t,1,7,15,116
Alexander Mattison,2019,MIN,13,10,82,8.2,6.3,17,0,3,12,74
C.J. Prosise,2019,SEA,9,10,76,7.6,8.4,21,0,3,12,66
Robert Tonyan,2019,GB,11,10,100,10,9.1,28,1,4,15,26
Andrew Beck,2019,DEN,16,9,90,10,5.6,29,1,6,12,67
Brandon Bolden,2019,NE,15,9,111,12.33,7.4,29t,1,6,11,59
Deon Cain,2019,IND/PIT,13,9,124,13.78,9.5,35,0,7,20,22
Jaeden Graham,2019,ATL,16,9,149,16.56,9.3,53,1,7,10,73
Virgil Green,2019,LAC,15,9,78,8.67,5.2,15,1,4,13,39
Andy Isabella,2019,ARI,15,9,189,21,12.6,88t,1,4,13,140
DeSean Jackson,2019,PHI,3,9,159,17.67,53,53t,2,6,10,15
Justin Jackson,2019,LAC,7,9,22,2.44,3.1,9,0,0,11,38
Joshua Perkins,2019,PHI,5,9,87,9.67,17.4,24t,1,5,13,26
Kalif Raymond,2019,TEN,8,9,170,18.89,21.2,52,1,6,12,14
Adam Shaheen,2019,CHI,8,9,74,8.22,9.2,18,0,3,13,38
Wendell Smallwood,2019,WAS,15,9,64,7.11,4.3,18,0,4,13,50
Darwin Thompson,2019,KC,12,9,43,4.78,3.6,19,0,2,10,62
Laquon Treadwell,2019,MIN,13,9,184,20.44,14.2,58t,1,8,16,57
Damion Willis,2019,CIN,10,9,82,9.11,8.2,17,0,3,16,16
Mo Alie-Cox,2019,IND,16,8,93,11.63,5.8,21,0,5,11,60
Dan Arnold,2019,NO/ARI,5,8,127,15.88,25.4,37,2,6,14,29
Blake Bell,2019,KC,15,8,67,8.38,4.5,30,0,3,15,9
Antonio Callaway,2019,CLE,4,8,89,11.13,22.2,41,0,3,15,44
Tyler Conklin,2019,MIN,15,8,58,7.25,3.9,20,0,2,10,18
Trevor Davis,2019,GB/OAK,11,8,111,13.88,10.1,28,0,4,11,65
Hale Hentges,2019,WAS,11,8,103,12.88,9.4,24,1,6,14,47
Justice Hill,2019,BAL,16,8,70,8.75,4.4,14,0,5,15,81
Chris Hogan,2019,CAR,7,8,67,8.38,9.6,13,0,3,15,29
Jesper Horsted,2019,CHI,6,8,87,10.88,14.5,20,1,4,10,30
Rashaad Penny,2019,SEA,10,8,83,10.38,8.3,30,1,3,11,91
Patrick Ricard,2019,BAL,16,8,47,5.88,2.9,10,1,3,11,52
Luke Stocker,2019,ATL,15,8,53,6.63,3.5,18,0,2,14,36
Tommy Sweeney,2019,BUF,6,8,114,14.25,19,29,0,4,13,38
Ryan Switzer,2019,PIT,9,8,27,3.38,3,8,0,2,11,17
Luke Willson,2019,SEA,8,8,79,9.88,9.9,17,0,5,10,38
Brandon Zylstra,2019,CAR,8,8,106,13.25,13.2,40,0,5,12,10
Daniel Brown,2019,NYJ,16,7,72,10.29,4.5,24,1,4,11,21
Mike Davis,2019,CHI,7,7,22,3.14,3.1,7,0,1,8,27
Gus Edwards,2019,BAL,16,7,45,6.43,2.8,10,0,2,7,45
Myles Gaskin,2019,MIA,7,7,51,7.29,7.3,20,0,2,12,46
Derrius Guice,2019,WAS,5,7,79,11.29,15.8,45t,1,2,9,86
Marvin Hall,2019,DET,9,7,261,37.29,29,58,1,7,11,36
J.P. Holtz,2019,CHI,14,7,91,13,6.5,30,0,4,8,79
Bilal Powell,2019,NYJ,13,7,33,4.71,2.5,9,0,0,12,45
Durham Smythe,2019,MIA,16,7,65,9.29,4.1,24,0,2,14,10
Dan Vitale,2019,GB,15,7,97,13.86,6.5,27,0,3,12,56
Jordan Wilkins,2019,IND,14,7,43,6.14,3.1,11,0,1,11,32
Kenjon Barner,2019,ATL,14,6,22,3.67,1.6,13,0,1,8,27
Travis Benjamin,2019,LAC,5,6,30,5,6,13,0,3,16,19
Braxton Berrios,2019,NYJ,16,6,115,19.17,7.2,69,0,3,13,87
Reggie Bonnafon,2019,CAR,16,6,57,9.5,3.6,32,0,1,9,52
Devontae Booker,2019,DEN,16,6,57,9.5,3.6,25,0,1,9,44
Ben Braunecker,2019,CHI,11,6,59,9.83,5.4,18t,1,5,11,25
Trey Edmunds,2019,PIT,11,6,48,8,4.4,11,0,2,7,42
Troy Fumagalli,2019,DEN,11,6,38,6.33,3.5,9,1,1,9,14
Deonte Harris,2019,NO,14,6,24,4,1.7,13,0,2,6,37
Alec Ingold,2019,OAK,16,6,44,7.33,2.8,14,1,4,6,38
Ryan Izzo,2019,NE,6,6,114,19,19,41,1,4,9,50
Richie James,2019,SF,16,6,165,27.5,10.3,57,1,5,10,103
D'Ernest Johnson,2019,CLE,16,6,71,11.83,4.4,27,0,1,7,43
Tyler Kroft,2019,BUF,11,6,71,11.83,6.5,20,1,5,14,27
Zach Line,2019,NO,12,6,36,6,3,12,0,1,10,45
Andre Patton,2019,LAC,13,6,56,9.33,4.3,15,0,4,17,28
MyCole Pruitt,2019,TEN,16,6,90,15,5.6,42,1,4,8,65
Riley Ridley,2019,CHI,5,6,69,11.5,13.8,32,0,4,7,15
Diontae Spencer,2019,DEN,16,6,31,5.17,1.9,20,0,1,8,33
Darren Sproles,2019,PHI,6,6,24,4,4,7,0,1,10,25
Marcell Ateman,2019,OAK,11,5,116,23.2,10.6,36,0,3,10,19
Stephen Carlson,2019,CLE,9,5,51,10.2,5.7,21,1,2,7,21
Patrick DiMarco,2019,BUF,16,5,41,8.2,2.6,27,0,1,7,31
Andy Janovich,2019,DEN,7,5,42,8.4,6,22,0,1,5,33
David Njoku,2019,CLE,4,5,41,8.2,10.2,18,1,3,10,16
Drew Sample,2019,CIN,9,5,30,6,3.3,21,0,1,6,13
Devin Smith,2019,DAL,4,5,113,22.6,28.2,51t,1,4,9,32
Spencer Ware,2019,KC,3,5,22,4.4,7.3,18,0,1,7,15
Jonathan Williams,2019,IND,9,5,59,11.8,6.6,31,0,3,5,64
