Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Le'Veon Bell,2017,PIT,15,85,655,7.71,43.7,42,2,31,106,681
Travis Kelce,2017,KC,15,83,"1,038",12.51,69.2,44,8,55,122,406
Demaryius Thomas,2017,DEN,16,83,949,11.43,59.3,40,5,53,140,299
Alvin Kamara,2017,NO,16,81,826,10.2,51.6,40,5,38,100,683
Jack Doyle,2017,IND,15,80,690,8.63,46,26,4,34,108,337
Christian McCaffrey,2017,CAR,16,80,651,8.14,40.7,37,5,36,113,593
Doug Baldwin,2017,SEA,16,75,991,13.21,61.9,54,8,44,116,274
A.J. Green,2017,CIN,16,75,"1,078",14.37,67.4,77t,8,55,143,297
Tyreek Hill,2017,KC,15,75,"1,183",15.77,78.9,79t,7,41,105,455
Davante Adams,2017,GB,14,74,885,11.96,63.2,55t,10,45,117,338
Zach Ertz,2017,PHI,14,74,824,11.14,58.9,53,8,46,110,243
Duke Johnson,2017,CLE,16,74,693,9.36,43.3,41t,3,31,93,634
Delanie Walker,2017,TEN,16,74,807,10.91,50.4,42,3,43,111,248
Mike Evans,2017,TB,15,71,"1,001",14.1,66.7,42t,5,55,136,134
Dez Bryant,2017,DAL,16,69,838,12.14,52.4,50t,6,44,132,266
Rob Gronkowski,2017,NE,14,69,"1,084",15.71,77.4,53t,8,57,105,345
Mohamed Sanu,2017,ATL,15,67,703,10.49,46.9,25,5,41,96,245
Randall Cobb,2017,GB,15,66,653,9.89,43.5,46,4,29,92,412
Jamison Crowder,2017,WAS,15,66,789,11.95,52.6,41,3,37,103,370
Brandin Cooks,2017,NE,16,65,"1,082",16.65,67.6,64t,7,42,114,227
Jermaine Kearse,2017,NYJ,16,65,810,12.46,50.6,51,5,37,102,295
Stefon Diggs,2017,MIN,14,64,849,13.27,60.6,59t,8,42,95,298
Evan Engram,2017,NYG,15,64,722,11.28,48.1,35,6,37,115,306
Todd Gurley,2017,LA,15,64,788,12.31,52.5,80t,6,32,87,765
Robby Anderson,2017,NYJ,16,63,941,14.94,58.8,69t,7,36,114,273
Devin Funchess,2017,CAR,16,63,840,13.33,52.5,44,8,40,111,296
Jason Witten,2017,DAL,16,63,560,8.89,35,28t,5,26,87,105
Nelson Agholor,2017,PHI,16,62,768,12.39,48,72t,8,35,95,301
Cooper Kupp,2017,LA,15,62,869,14.02,57.9,64,5,42,94,364
Danny Amendola,2017,NE,15,61,659,10.8,43.9,27,2,40,86,210
Adam Humphries,2017,TB,16,61,631,10.34,39.4,43,1,34,83,307
Marvin Jones,2017,DET,16,61,"1,101",18.05,68.8,58,9,44,107,195
Benjamin Watson,2017,BAL,16,61,522,8.56,32.6,33t,4,30,79,263
Carlos Hyde,2017,SF,16,59,350,5.93,21.9,18,0,17,88,322
LeSean McCoy,2017,BUF,16,59,448,7.59,28,39,2,23,77,395
Sterling Shepard,2017,NYG,11,59,731,12.39,66.5,77t,2,36,84,295
Kendall Wright,2017,CHI,16,59,614,10.41,38.4,22,1,33,91,182
Michael Crabtree,2017,OAK,14,58,618,10.66,44.1,41t,8,35,101,190
Melvin Gordon,2017,LAC,16,58,476,8.21,29.8,49,4,22,83,495
Mark Ingram,2017,NO,16,58,416,7.17,26,54,0,19,71,500
JuJu Smith-Schuster,2017,PIT,14,58,917,15.81,65.5,97t,7,39,79,430
Kenny Stills,2017,MIA,16,58,847,14.6,52.9,61t,6,36,105,159
Jimmy Graham,2017,SEA,16,57,520,9.12,32.5,33,10,32,96,211
T.Y. Hilton,2017,IND,16,57,966,16.95,60.4,80t,4,38,109,304
Alshon Jeffery,2017,PHI,16,57,789,13.84,49.3,53t,9,44,120,203
DeVante Parker,2017,MIA,13,57,670,11.75,51.5,36,1,33,96,207
Kyle Rudolph,2017,MIN,16,57,532,9.33,33.2,34,8,32,81,224
Marquise Goodwin,2017,SF,16,56,962,17.18,60.1,83t,2,46,105,198
Marqise Lee,2017,JAX,14,56,702,12.54,50.1,45,3,40,96,289
James White,2017,NE,14,56,429,7.66,30.6,27,3,25,72,340
Robert Woods,2017,LA,12,56,781,13.95,65.1,94t,5,36,85,304
Jared Cook,2017,OAK,16,54,688,12.74,43,35,2,35,86,241
Eric Decker,2017,TEN,16,54,563,10.43,35.2,29,1,31,83,113
Tarik Cohen,2017,CHI,16,53,353,6.66,22.1,70,1,9,71,303
Eric Ebron,2017,DET,16,53,574,10.83,35.9,44,4,30,86,258
Ted Ginn Jr.,2017,NO,15,53,787,14.85,52.5,54t,4,32,70,302
Kareem Hunt,2017,KC,16,53,455,8.58,28.4,78t,3,18,63,411
Rishard Matthews,2017,TEN,14,53,795,15,56.8,75t,4,36,87,277
Jordy Nelson,2017,GB,15,53,482,9.09,32.1,58,6,38,88,128
Theo Riddick,2017,DET,16,53,444,8.38,27.8,63,2,20,71,435
Terrance Williams,2017,DAL,16,53,568,10.72,35.5,56,0,31,78,230
Brandon LaFell,2017,CIN,16,52,548,10.54,34.2,45,3,25,89,239
Mike Wallace,2017,BAL,15,52,748,14.38,49.9,66,4,33,92,157
Jerick McKinnon,2017,MIN,16,51,421,8.25,26.3,41,2,20,68,450
Martavis Bryant,2017,PIT,15,50,603,12.06,40.2,51,3,30,84,170
DeSean Jackson,2017,TB,14,50,668,13.36,47.7,41,3,36,90,191
Austin Seferian-Jenkins,2017,NYJ,13,50,357,7.14,27.5,28,3,18,74,124
Charles Clay,2017,BUF,13,49,558,11.39,42.9,44,2,29,74,265
Austin Hooper,2017,ATL,16,49,526,10.73,32.9,88t,3,18,65,262
Kelvin Benjamin,2017,CAR/BUF,14,48,692,14.42,49.4,43,3,30,78,139
Cameron Brate,2017,TB,16,48,591,12.31,36.9,35,6,33,77,143
Amari Cooper,2017,OAK,14,48,680,14.17,48.6,87t,7,28,96,293
Emmanuel Sanders,2017,DEN,12,47,555,11.81,46.2,38,2,30,92,167
Javorius Allen,2017,BAL,16,46,250,5.43,15.6,20,2,16,60,218
Ryan Grant,2017,WAS,16,45,573,12.73,35.8,40t,4,29,65,235
Hunter Henry,2017,LAC,14,45,579,12.87,41.4,34,4,32,62,221
Tyler Lockett,2017,SEA,16,45,555,12.33,34.7,74t,2,23,71,188
Paul Richardson,2017,SEA,16,44,703,15.98,43.9,61t,6,33,80,125
Shane Vereen,2017,NYG,16,44,253,5.75,15.8,20,0,7,53,245
Giovani Bernard,2017,CIN,16,43,389,9.05,24.3,61t,2,16,60,439
Vernon Davis,2017,WAS,16,43,648,15.07,40.5,69,3,23,69,306
Jesse James,2017,PIT,16,43,372,8.65,23.2,32,3,20,63,192
George Kittle,2017,SF,15,43,515,11.98,34.3,44,2,22,63,265
Seth Roberts,2017,OAK,15,43,455,10.58,30.3,29,1,22,65,104
Trent Taylor,2017,SF,15,43,430,10,28.7,33,2,27,60,190
Tyrell Williams,2017,LAC,16,43,728,16.93,45.5,75t,4,29,69,320
Keelan Cole,2017,JAX,16,42,748,17.81,46.8,75t,3,32,83,299
Tyler Kroft,2017,CIN,16,42,404,9.62,25.2,59,7,23,62,193
Albert Wilson,2017,KC,13,42,554,13.19,42.6,63t,3,32,62,318
Julius Thomas,2017,MIA,14,41,388,9.46,27.7,27,3,18,62,145
Pierre Garcon,2017,SF,8,40,500,12.5,62.5,59,0,25,67,190
Jeremy Maclin,2017,BAL,12,40,440,11,36.7,48t,3,23,72,108
Andre Ellington,2017,ARI/HOU,12,39,369,9.46,30.8,29,0,16,59,233
Allen Hurns,2017,JAX,10,39,484,12.41,48.4,50,2,28,56,175
DeMarco Murray,2017,TEN,15,39,266,6.82,17.7,18,1,10,47,244
Chris Thompson,2017,WAS,10,39,510,13.08,51,74,4,22,54,485
Sammy Watkins,2017,LA,15,39,593,15.21,39.5,67t,8,33,70,185
Deonte Thompson,2017,CHI/BUF,16,38,555,14.61,34.7,46,2,25,69,101
Matt Forte,2017,NYJ,12,37,293,7.92,24.4,34,1,13,45,252
Cole Beasley,2017,DAL,15,36,314,8.72,20.9,54,4,20,63,125
Leonard Fournette,2017,JAX,13,36,302,8.39,23.2,28,1,15,48,303
Devonta Freeman,2017,ATL,14,36,317,8.81,22.6,29,1,18,47,244
Roger Lewis,2017,NYG,15,36,416,11.56,27.7,34,2,20,72,76
Lamar Miller,2017,HOU,16,36,327,9.08,20.4,32,3,17,45,295
Torrey Smith,2017,PHI,16,36,430,11.94,26.9,59t,2,11,68,131
Josh Doctson,2017,WAS,16,35,502,14.34,31.4,52t,6,25,78,131
