Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC,lg_yd0,lg_td0,names_year
Allen Hurns,2019,MIA,14,32,416,13,29.7,27,2,18,47,96,27,0,Allen Hurns 2019
Demarcus Robinson,2019,KC,16,32,449,14.03,28.1,44t,4,19,55,103,44,1,Demarcus Robinson 2019
Preston Williams,2019,MIA,8,32,428,13.38,53.5,35,3,24,60,61,35,0,Preston Williams 2019
Nick Boyle,2019,BAL,16,31,321,10.35,20.1,35,2,13,43,160,35,0,Nick Boyle 2019
Eric Ebron,2019,IND,11,31,375,12.1,34.1,48t,3,20,52,155,48,1,Eric Ebron 2019
Todd Gurley,2019,LA,15,31,207,6.68,13.8,23,2,8,49,196,23,0,Todd Gurley 2019
Blake Jarwin,2019,DAL,16,31,365,11.77,22.8,42t,3,17,41,157,42,1,Blake Jarwin 2019
Olabisi Johnson,2019,MIN,16,31,294,9.48,18.4,23,3,17,45,68,23,0,Olabisi Johnson 2019
Ronald Jones II,2019,TB,16,31,309,9.97,19.3,41,0,12,40,294,41,0,Ronald Jones II 2019
Kaden Smith,2019,NYG,9,31,268,8.65,29.8,32,3,12,42,91,32,0,Kaden Smith 2019
Willie Snead,2019,BAL,16,31,339,10.94,21.2,50t,5,20,46,126,50,1,Willie Snead 2019
Giovani Bernard,2019,CIN,16,30,234,7.8,14.6,35,0,7,43,220,35,0,Giovani Bernard 2019
Kendrick Bourne,2019,SF,16,30,358,11.93,22.4,30,5,23,44,122,30,0,Kendrick Bourne 2019
Ted Ginn Jr.,2019,NO,16,30,421,14.03,26.3,45,2,20,56,48,45,0,Ted Ginn Jr. 2019
Kelvin Harmon,2019,WAS,16,30,365,12.17,22.8,30,0,16,44,94,30,0,Kelvin Harmon 2019
Hayden Hurst,2019,BAL,16,30,349,11.63,21.8,61t,2,16,39,148,61,1,Hayden Hurst 2019
Adam Thielen,2019,MIN,10,30,418,13.93,41.8,44,6,18,48,117,44,0,Adam Thielen 2019
Damien Williams,2019,KC,11,30,213,7.1,19.4,32,2,10,37,230,32,0,Damien Williams 2019
Phillip Dorsett,2019,NE,14,29,397,13.69,28.4,58t,5,17,54,79,58,1,Phillip Dorsett 2019
Taylor Gabriel,2019,CHI,9,29,353,12.17,39.2,53,4,17,48,79,53,0,Taylor Gabriel 2019
Devin Singletary,2019,BUF,12,29,194,6.69,16.2,49,2,5,41,193,49,0,Devin Singletary 2019
DaeSean Hamilton,2019,DEN,16,28,297,10.61,18.6,28,1,19,52,128,28,0,DaeSean Hamilton 2019
Dawson Knox,2019,BUF,15,28,388,13.86,25.9,49,2,15,50,144,49,0,Dawson Knox 2019
LeSean McCoy,2019,KC,13,28,181,6.46,13.9,23,1,5,34,236,23,0,LeSean McCoy 2019
Paul Richardson,2019,WAS,10,28,245,8.75,24.5,22,2,13,42,50,22,0,Paul Richardson 2019
John Ross,2019,CIN,8,28,506,18.07,63.2,66t,3,22,56,198,66,1,John Ross 2019
Greg Ward,2019,PHI,7,28,254,9.07,36.3,38,1,18,40,98,38,0,Greg Ward 2019
Jarius Wright,2019,CAR,16,28,296,10.57,18.5,33,0,16,58,89,33,0,Jarius Wright 2019
Rex Burkhead,2019,NE,13,27,279,10.33,21.5,32,0,10,38,229,32,0,Rex Burkhead 2019
Josh Gordon,2019,NE/SEA,11,27,426,15.78,38.7,58,1,16,47,149,58,0,Josh Gordon 2019
Zay Jones,2019,BUF/OAK,15,27,216,8,14.4,23,0,10,45,77,23,0,Zay Jones 2019
Isaiah McKenzie,2019,BUF,15,27,254,9.41,16.9,46,1,12,39,206,46,0,Isaiah McKenzie 2019
C.J. Uzomah,2019,CIN,16,27,242,8.96,15.1,36,2,12,40,135,36,0,C.J. Uzomah 2019
Mecole Hardman,2019,KC,16,26,538,20.69,33.6,83t,6,18,41,292,83,1,Mecole Hardman 2019
Mark Ingram,2019,BAL,15,26,247,9.5,16.5,25t,5,16,29,220,25,1,Mark Ingram 2019
Jakobi Meyers,2019,NE,15,26,359,13.81,23.9,35,0,17,41,114,35,0,Jakobi Meyers 2019
Trey Quinn,2019,WAS,12,26,198,7.62,16.5,19,1,10,47,61,19,0,Trey Quinn 2019
Jeremy Sprinkle,2019,WAS,16,26,241,9.27,15.1,23,1,13,40,91,23,0,Jeremy Sprinkle 2019
Marquez Valdes-Scantling,2019,GB,16,26,452,17.38,28.2,74t,2,14,56,155,74,1,Marquez Valdes-Scantling 2019
Pharoh Cooper,2019,ARI,12,25,243,9.72,20.2,28,1,10,33,70,28,0,Pharoh Cooper 2019
Josh Hill,2019,NO,16,25,226,9.04,14.1,29,3,13,35,159,29,0,Josh Hill 2019
Dion Lewis,2019,TEN,16,25,164,6.56,10.2,24,1,7,32,193,24,0,Dion Lewis 2019
David Montgomery,2019,CHI,16,25,185,7.4,11.6,30,1,7,35,156,30,0,David Montgomery 2019
Tajae Sharpe,2019,TEN,15,25,329,13.16,21.9,47,4,20,35,58,47,0,Tajae Sharpe 2019
Keelan Cole,2019,JAX,16,24,361,15.04,22.6,55,3,19,35,99,55,0,Keelan Cole 2019
Ty Johnson,2019,DET,16,24,109,4.54,6.8,13,0,4,31,93,13,0,Ty Johnson 2019
Cody Latimer,2019,NYG,15,24,300,12.5,20,43,2,19,42,69,43,0,Cody Latimer 2019
Boston Scott,2019,PHI,11,24,204,8.5,18.6,39,0,10,26,273,39,0,Boston Scott 2019
Will Dissly,2019,SEA,6,23,262,11.39,43.7,38,4,14,27,70,38,0,Will Dissly 2019
Isaiah Ford,2019,MIA,8,23,244,10.61,30.5,28,0,16,35,86,28,0,Isaiah Ford 2019
Bennie Fowler,2019,NYG,8,23,193,8.39,24.1,17,0,12,36,29,17,0,Bennie Fowler 2019
Patrick Laird,2019,MIA,15,23,204,8.87,13.6,21,0,13,30,176,21,0,Patrick Laird 2019
Keke Coutee,2019,HOU,9,22,254,11.55,28.2,51,0,10,36,140,51,0,Keke Coutee 2019
Tevin Coleman,2019,SF,14,21,180,8.57,12.9,37,1,9,30,204,37,0,Tevin Coleman 2019
KeeSean Johnson,2019,ARI,10,21,187,8.9,18.7,31,1,10,42,43,31,0,KeeSean Johnson 2019
Foster Moreau,2019,OAK,13,21,174,8.29,13.4,23,5,14,25,97,23,0,Foster Moreau 2019
Josh Reynolds,2019,LA,16,21,326,15.52,20.4,31t,1,15,43,139,31,1,Josh Reynolds 2019
Seth Roberts,2019,BAL,16,21,271,12.9,16.9,33t,2,18,35,70,33,1,Seth Roberts 2019
Delanie Walker,2019,TEN,7,21,215,10.24,30.7,29,2,11,31,66,29,0,Delanie Walker 2019
Josh Jacobs,2019,OAK,13,20,166,8.3,12.8,28,0,8,27,183,28,0,Josh Jacobs 2019
Kyle Juszczyk,2019,SF,12,20,239,11.95,19.9,49,1,11,24,157,49,0,Kyle Juszczyk 2019
Matt Breida,2019,SF,13,19,120,6.32,9.2,17,1,6,22,127,17,0,Matt Breida 2019
Jakeem Grant,2019,MIA,10,19,164,8.63,16.4,18,0,9,33,87,18,0,Jakeem Grant 2019
Justin Hardy,2019,ATL,16,19,195,10.26,12.2,23,0,9,26,81,23,0,Justin Hardy 2019
Taysom Hill,2019,NO,16,19,234,12.32,14.6,45t,6,14,22,149,45,1,Taysom Hill 2019
Parris Campbell,2019,IND,7,18,127,7.06,18.1,27,1,6,24,106,27,0,Parris Campbell 2019
Charles Clay,2019,ARI,15,18,237,13.17,15.8,47,1,12,24,95,47,0,Charles Clay 2019
Rhett Ellison,2019,NYG,10,18,167,9.28,16.7,31,1,4,28,83,31,0,Rhett Ellison 2019
Derrick Henry,2019,TEN,15,18,206,11.44,13.7,75t,2,4,24,236,75,1,Derrick Henry 2019
Tre'Quan Smith,2019,NO,11,18,234,13,21.3,32,5,17,25,115,32,0,Tre'Quan Smith 2019
Javon Wims,2019,CHI,16,18,186,10.33,11.6,37,1,9,39,45,37,0,Javon Wims 2019
C.J. Ham,2019,MIN,16,17,149,8.76,9.3,36,1,6,26,125,36,0,C.J. Ham 2019
Marcus Johnson,2019,IND,8,17,277,16.29,34.6,50,2,12,33,43,50,0,Marcus Johnson 2019
David Moore,2019,SEA,14,17,301,17.71,21.5,60t,2,14,34,128,60,1,David Moore 2019
Adrian Peterson,2019,WAS,15,17,142,8.35,9.5,22,0,7,23,161,22,0,Adrian Peterson 2019
Vyncint Smith,2019,NYJ,13,17,225,13.24,17.3,37,0,11,31,105,37,0,Vyncint Smith 2019
Nick Vannett,2019,SEA/PIT,16,17,166,9.76,10.4,18,0,5,22,66,18,0,Nick Vannett 2019
Benjamin Watson,2019,NE,10,17,173,10.18,17.3,26,0,9,24,83,26,0,Benjamin Watson 2019
Peyton Barber,2019,TB,16,16,115,7.19,7.2,16,1,4,24,118,16,0,Peyton Barber 2019
Jaron Brown,2019,SEA,14,16,220,13.75,15.7,48,2,10,28,59,48,0,Jaron Brown 2019
Jesse James,2019,DET,16,16,142,8.88,8.9,23,0,8,27,65,23,0,Jesse James 2019
Tim Patrick,2019,DEN,8,16,218,13.63,27.2,38,0,14,31,38,38,0,Tim Patrick 2019
Chester Rogers,2019,IND,12,16,179,11.19,14.9,27,2,11,28,69,27,0,Chester Rogers 2019
Ian Thomas,2019,CAR,16,16,136,8.5,8.5,19,1,10,30,77,19,0,Ian Thomas 2019
Logan Thomas,2019,DET,16,16,173,10.81,10.8,17,1,10,28,77,17,0,Logan Thomas 2019
Ameer Abdullah,2019,MIN,16,15,88,5.87,5.5,16t,1,5,21,79,16,1,Ameer Abdullah 2019
Ross Dwelley,2019,SF,16,15,91,6.07,5.7,25,2,8,22,40,25,0,Ross Dwelley 2019
Demetrius Harris,2019,CLE,15,15,149,9.93,9.9,23,3,10,27,68,23,0,Demetrius Harris 2019
Marcedes Lewis,2019,GB,16,15,156,10.4,9.8,25,1,8,19,82,25,0,Marcedes Lewis 2019
Tony Pollard,2019,DAL,15,15,107,7.13,7.1,21t,1,4,20,135,21,1,Tony Pollard 2019
Malik Turner,2019,SEA,15,15,245,16.33,16.3,33t,1,10,22,101,33,1,Malik Turner 2019
Mark Walton,2019,MIA,7,15,89,5.93,12.7,18,0,3,21,106,18,0,Mark Walton 2019
Justin Watson,2019,TB,16,15,159,10.6,9.9,17t,2,10,26,14,17,1,Justin Watson 2019
Darrel Williams,2019,KC,12,15,167,11.13,13.9,52,1,7,19,179,52,0,Darrel Williams 2019
Maxx Williams,2019,ARI,16,15,202,13.47,12.6,28,1,11,19,104,28,0,Maxx Williams 2019
Ryquell Armstead,2019,JAX,16,14,144,10.29,9,31,2,9,24,112,31,0,Ryquell Armstead 2019
Kalen Ballage,2019,MIA,12,14,63,4.5,5.2,13,0,4,24,87,13,0,Kalen Ballage 2019
Trey Burton,2019,CHI,8,14,84,6,10.5,16,0,5,24,36,16,0,Trey Burton 2019
Anthony Firkser,2019,TEN,15,14,204,14.57,13.6,39,1,9,24,71,39,0,Anthony Firkser 2019
Jeff Heuerman,2019,DEN,14,14,114,8.14,8.1,26,1,9,20,42,26,0,Jeff Heuerman 2019
Marlon Mack,2019,IND,14,14,82,5.86,5.9,14,0,2,17,80,14,0,Marlon Mack 2019
Raheem Mostert,2019,SF,16,14,180,12.86,11.2,39t,2,6,22,155,39,1,Raheem Mostert 2019
James O'Shaughnessy,2019,JAX,5,14,153,10.93,30.6,35,2,7,20,81,35,0,James O'Shaughnessy 2019
Ricky Seals-Jones,2019,CLE,14,14,229,16.36,16.4,59,4,10,22,95,59,0,Ricky Seals-Jones 2019
Tavon Austin,2019,DAL,14,13,177,13.62,12.6,59t,1,8,24,85,59,1,Tavon Austin 2019
Miles Boykin,2019,BAL,16,13,198,15.23,12.4,50,3,10,22,12,50,0,Miles Boykin 2019
Derek Carrier,2019,OAK,16,13,108,8.31,6.8,25,1,4,19,51,25,0,Derek Carrier 2019
Frank Gore,2019,BUF,16,13,100,7.69,6.2,18,0,5,16,88,18,0,Frank Gore 2019
Matt LaCosse,2019,NE,11,13,131,10.08,11.9,24,1,6,19,46,24,0,Matt LaCosse 2019
Scott Miller,2019,TB,10,13,200,15.38,20,48,1,5,26,36,48,0,Scott Miller 2019
Ty Montgomery,2019,NYJ,16,13,90,6.92,5.6,21,0,3,17,94,21,0,Ty Montgomery 2019
Nick O'Leary,2019,MIA/JAX,12,13,109,8.38,9.1,19,1,4,18,39,19,0,Nick O'Leary 2019
Geoff Swaim,2019,JAX,6,13,65,5,10.8,9,0,1,17,41,9,0,Geoff Swaim 2019
T.J. Yeldon,2019,BUF,6,13,124,9.54,20.7,23,0,6,15,119,23,0,T.J. Yeldon 2019
