Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC,lg_yd0,lg_td0,names_year
Michael Thomas,2018,NO,16,125,1405,11.24,87.8,72t,9,75,147,514,72,1,Michael Thomas 2018
Zach Ertz,2018,PHI,16,116,1163,10.03,72.7,34,8,66,156,353,34,0,Zach Ertz 2018
DeAndre Hopkins,2018,HOU,16,115,1572,13.67,98.2,49t,11,81,163,387,49,1,DeAndre Hopkins 2018
Julio Jones,2018,ATL,16,113,1677,14.84,104.8,58,8,80,170,448,58,0,Julio Jones 2018
Adam Thielen,2018,MIN,16,113,1373,12.15,85.8,68,9,74,153,416,68,0,Adam Thielen 2018
Davante Adams,2018,GB,15,111,1386,12.49,92.4,57,13,64,169,475,57,0,Davante Adams 2018
JuJu Smith-Schuster,2018,PIT,16,111,1426,12.85,89.1,97t,7,67,166,648,97,1,JuJu Smith-Schuster 2018
Christian McCaffrey,2018,CAR,16,107,867,8.1,54.2,38,6,41,124,855,38,0,Christian McCaffrey 2018
Antonio Brown,2018,PIT,15,104,1297,12.47,86.5,78t,15,63,168,485,78,1,Antonio Brown 2018
Travis Kelce,2018,KC,16,103,1336,12.97,83.5,43,10,68,150,569,43,0,Travis Kelce 2018
Stefon Diggs,2018,MIN,15,102,1021,10.01,68.1,75t,9,49,149,448,75,1,Stefon Diggs 2018
Keenan Allen,2018,LAC,16,97,1196,12.33,74.8,54,6,62,136,403,54,0,Keenan Allen 2018
Saquon Barkley,2018,NYG,16,91,721,7.92,45.1,57t,4,30,121,768,57,1,Saquon Barkley 2018
George Kittle,2018,SF,16,88,1377,15.65,86.1,85t,5,60,136,870,85,1,George Kittle 2018
Tyreek Hill,2018,KC,16,87,1479,17,92.4,75t,12,60,137,527,75,1,Tyreek Hill 2018
James White,2018,NE,16,87,751,8.63,46.9,42,7,38,123,665,42,0,James White 2018
Mike Evans,2018,TB,16,86,1524,17.72,95.2,72t,8,69,138,282,72,1,Mike Evans 2018
Robert Woods,2018,LA,16,86,1219,14.17,76.2,39t,6,66,130,420,39,1,Robert Woods 2018
Alvin Kamara,2018,NO,15,81,709,8.75,47.3,42,4,31,105,642,42,0,Alvin Kamara 2018
Jarvis Landry,2018,CLE,16,81,976,12.05,61,51t,4,44,149,274,51,1,Jarvis Landry 2018
Brandin Cooks,2018,LA,16,80,1204,15.05,75.2,57,5,56,117,346,57,0,Brandin Cooks 2018
Odell Beckham Jr.,2018,NYG,12,77,1052,13.66,87.7,51,6,51,124,305,51,0,Odell Beckham Jr. 2018
Ezekiel Elliott,2018,DAL,15,77,567,7.36,37.8,38t,3,22,95,576,38,1,Ezekiel Elliott 2018
Tyler Boyd,2018,CIN,14,76,1028,13.53,73.4,49,7,54,108,418,49,0,Tyler Boyd 2018
T.Y. Hilton,2018,IND,14,76,1270,16.71,90.7,68t,6,55,120,455,68,1,T.Y. Hilton 2018
Adam Humphries,2018,TB,16,76,816,10.74,51,51,5,48,105,423,51,0,Adam Humphries 2018
Amari Cooper,2018,OAK/DAL,15,75,1005,13.4,67,90t,7,53,107,415,90,1,Amari Cooper 2018
Julian Edelman,2018,NE,12,74,850,11.49,70.8,36,6,41,108,348,36,0,Julian Edelman 2018
Golden Tate,2018,DET/PHI,15,74,795,10.74,53,67,4,33,113,427,67,0,Golden Tate 2018
Tarik Cohen,2018,CHI,16,71,725,10.21,45.3,70t,5,29,91,520,70,1,Tarik Cohen 2018
Austin Hooper,2018,ATL,16,71,660,9.3,41.2,36,4,30,88,237,36,0,Austin Hooper 2018
Emmanuel Sanders,2018,DEN,12,71,868,12.23,72.3,64t,4,36,98,297,64,1,Emmanuel Sanders 2018
Kenny Golladay,2018,DET,15,70,1063,15.19,70.9,60,5,56,119,350,60,0,Kenny Golladay 2018
Larry Fitzgerald,2018,ARI,16,69,734,10.64,45.9,37,6,39,112,205,37,0,Larry Fitzgerald 2018
Jared Cook,2018,OAK,16,68,896,13.18,56,45,6,46,101,343,45,0,Jared Cook 2018
Jalen Richard,2018,OAK,16,68,607,8.93,37.9,32,0,23,81,495,32,0,Jalen Richard 2018
Taylor Gabriel,2018,CHI,16,67,688,10.27,43,54,2,31,93,226,54,0,Taylor Gabriel 2018
Eric Ebron,2018,IND,16,66,750,11.36,46.9,53t,13,39,110,250,53,1,Eric Ebron 2018
Mohamed Sanu,2018,ATL,16,66,838,12.7,52.4,44t,4,41,94,401,44,1,Mohamed Sanu 2018
Sterling Shepard,2018,NYG,16,66,872,13.21,54.5,58,4,47,107,309,58,0,Sterling Shepard 2018
Dede Westbrook,2018,JAX,16,66,717,10.86,44.8,61t,5,39,101,362,61,1,Dede Westbrook 2018
Cole Beasley,2018,DAL,16,65,672,10.34,42,32t,3,39,87,213,32,1,Cole Beasley 2018
Corey Davis,2018,TEN,16,65,891,13.71,55.7,51,4,47,112,267,51,0,Corey Davis 2018
Alshon Jeffery,2018,PHI,13,65,843,12.97,64.8,52,6,48,92,272,52,0,Alshon Jeffery 2018
Nelson Agholor,2018,PHI,16,64,736,11.5,46,83t,4,28,97,350,83,1,Nelson Agholor 2018
Calvin Ridley,2018,ATL,16,64,821,12.83,51.3,75t,10,39,92,364,75,1,Calvin Ridley 2018
Kyle Rudolph,2018,MIN,16,64,634,9.91,39.6,44t,4,32,82,245,44,1,Kyle Rudolph 2018
Nyheim Hines,2018,IND,16,63,425,6.75,26.6,28,2,29,81,349,28,0,Nyheim Hines 2018
Jordy Nelson,2018,OAK,15,63,739,11.73,49.3,66,3,36,88,241,66,0,Jordy Nelson 2018
Willie Snead,2018,BAL,16,62,651,10.5,40.7,28,1,37,95,282,28,0,Willie Snead 2018
Theo Riddick,2018,DET,14,61,384,6.3,27.4,20,0,16,74,406,20,0,Theo Riddick 2018
Danny Amendola,2018,MIA,15,59,575,9.75,38.3,39,1,27,79,229,39,0,Danny Amendola 2018
Chris Godwin,2018,TB,16,59,842,14.27,52.6,48,7,48,95,245,48,0,Chris Godwin 2018
Todd Gurley,2018,LA,14,59,580,9.83,41.4,56,4,26,81,587,56,0,Todd Gurley 2018
Dion Lewis,2018,TEN,16,59,400,6.78,25,37,1,13,67,477,37,0,Dion Lewis 2018
Demaryius Thomas,2018,DEN/HOU,15,59,677,11.47,45.1,45,5,37,89,277,45,0,Demaryius Thomas 2018
Tyler Lockett,2018,SEA,16,57,965,16.93,60.3,52t,10,37,70,213,52,1,Tyler Lockett 2018
Zay Jones,2018,BUF,16,56,652,11.64,40.8,57,7,33,102,142,57,0,Zay Jones 2018
David Njoku,2018,CLE,16,56,639,11.41,39.9,66,4,27,88,306,66,0,David Njoku 2018
James Conner,2018,PIT,13,55,497,9.04,38.2,29,1,20,71,548,29,0,James Conner 2018
Jimmy Graham,2018,GB,16,55,636,11.56,39.8,54,2,32,89,261,54,0,Jimmy Graham 2018
D.J. Moore,2018,CAR,16,55,788,14.33,49.2,82,2,33,82,421,82,0,D.J. Moore 2018
Allen Robinson,2018,CHI,13,55,754,13.71,58,43,4,36,94,216,43,0,Allen Robinson 2018
T.J. Yeldon,2018,JAX,14,55,487,8.85,34.8,37,4,20,78,450,37,0,T.J. Yeldon 2018
Trey Burton,2018,CHI,16,54,569,10.54,35.6,47,6,29,76,190,47,0,Trey Burton 2018
Michael Crabtree,2018,BAL,16,54,607,11.24,37.9,27,3,35,100,129,27,0,Michael Crabtree 2018
Jordan Reed,2018,WAS,13,54,558,10.33,42.9,34,2,26,84,231,34,0,Jordan Reed 2018
Kenyan Drake,2018,MIA,16,53,477,9,29.8,52t,5,23,73,423,52,1,Kenyan Drake 2018
Chester Rogers,2018,IND,16,53,485,9.15,30.3,34,2,28,72,258,34,0,Chester Rogers 2018
Robby Anderson,2018,NYJ,14,50,752,15.04,53.7,76t,6,30,94,185,76,1,Robby Anderson 2018
Doug Baldwin,2018,SEA,13,50,618,12.36,47.5,42,5,32,73,156,42,0,Doug Baldwin 2018
Melvin Gordon,2018,LAC,12,50,490,9.8,40.8,66t,4,21,66,537,66,1,Melvin Gordon 2018
David Johnson,2018,ARI,16,50,446,8.92,27.9,40,3,22,76,385,40,0,David Johnson 2018
Vance McDonald,2018,PIT,15,50,610,12.2,40.7,75t,4,33,72,387,75,1,Vance McDonald 2018
Donte Moncrief,2018,JAX,16,48,668,13.92,41.8,80t,3,29,89,252,80,1,Donte Moncrief 2018
Rob Gronkowski,2018,NE,13,47,682,14.51,52.5,42,3,34,72,182,42,0,Rob Gronkowski 2018
Duke Johnson,2018,CLE,16,47,429,9.13,26.8,32,3,25,62,370,32,0,Duke Johnson 2018
A.J. Green,2018,CIN,9,46,694,15.09,77.1,38t,6,37,77,163,38,1,A.J. Green 2018
Evan Engram,2018,NYG,11,45,577,12.82,52.5,54,3,22,64,388,54,0,Evan Engram 2018
Seth Roberts,2018,OAK,15,45,494,10.98,32.9,44,2,24,64,211,44,0,Seth Roberts 2018
Josh Doctson,2018,WAS,15,44,532,12.09,35.5,32,2,31,78,132,32,0,Josh Doctson 2018
Devin Funchess,2018,CAR,14,44,549,12.48,39.2,27,4,35,79,76,27,0,Devin Funchess 2018
Antonio Callaway,2018,CLE,16,43,586,13.63,36.6,71,5,27,79,236,71,0,Antonio Callaway 2018
Christian Kirk,2018,ARI,12,43,590,13.72,49.2,75t,3,21,68,225,75,1,Christian Kirk 2018
Joe Mixon,2018,CIN,14,43,296,6.88,21.1,21,1,14,55,333,21,0,Joe Mixon 2018
C.J. Uzomah,2018,CIN,16,43,439,10.21,27.4,29,3,21,64,202,29,0,C.J. Uzomah 2018
Mike Williams,2018,LAC,16,43,664,15.44,41.5,55t,10,36,66,118,55,1,Mike Williams 2018
Jarius Wright,2018,CAR,16,43,447,10.4,27.9,33,1,25,59,198,33,0,Jarius Wright 2018
Kendrick Bourne,2018,SF,16,42,487,11.6,30.4,33,4,30,67,147,33,0,Kendrick Bourne 2018
John Brown,2018,BAL,16,42,715,17.02,44.7,71,5,28,97,156,71,0,John Brown 2018
Courtland Sutton,2018,DEN,16,42,704,16.76,44,42,4,31,84,163,42,0,Courtland Sutton 2018
Josh Gordon,2018,CLE/NE,12,41,737,17.98,61.4,55t,4,30,71,264,55,1,Josh Gordon 2018
DeSean Jackson,2018,TB,12,41,774,18.88,64.5,75t,4,31,74,181,75,1,DeSean Jackson 2018
Chris Thompson,2018,WAS,10,41,268,6.54,26.8,23,1,12,55,219,23,0,Chris Thompson 2018
Tyrell Williams,2018,LAC,16,41,653,15.93,40.8,75t,5,30,65,195,75,1,Tyrell Williams 2018
Dalvin Cook,2018,MIN,11,40,305,7.63,27.7,27,2,15,49,373,27,0,Dalvin Cook 2018
Cooper Kupp,2018,LA,8,40,566,14.15,70.8,70t,6,25,55,303,70,1,Cooper Kupp 2018
Sammy Watkins,2018,KC,10,40,519,12.98,51.9,50,3,24,55,238,50,0,Sammy Watkins 2018
Austin Ekeler,2018,LAC,14,39,404,10.36,28.9,44t,3,18,53,411,44,1,Austin Ekeler 2018
Chris Herndon IV,2018,NYJ,16,39,502,12.87,31.4,32t,4,25,56,177,32,1,Chris Herndon IV 2018
Rashard Higgins,2018,CLE,13,39,572,14.67,44,40,4,27,53,152,40,0,Rashard Higgins 2018
Curtis Samuel,2018,CAR,13,39,494,12.67,38,53t,5,24,65,111,53,1,Curtis Samuel 2018
Devontae Booker,2018,DEN,16,38,275,7.24,17.2,30,0,9,51,242,30,0,Devontae Booker 2018
Randall Cobb,2018,GB,9,38,383,10.08,42.6,75t,2,18,61,233,75,1,Randall Cobb 2018
Keelan Cole,2018,JAX,16,38,491,12.92,30.7,35,1,25,70,136,35,0,Keelan Cole 2018
Quincy Enunwa,2018,NYJ,11,38,449,11.82,40.8,42,1,22,68,272,42,0,Quincy Enunwa 2018
Jacquizz Rodgers,2018,TB,16,38,304,8,19,24,0,13,45,240,24,0,Jacquizz Rodgers 2018
Marquez Valdes-Scantling,2018,GB,16,38,581,15.29,36.3,60,2,23,73,209,60,0,Marquez Valdes-Scantling 2018
Jermaine Kearse,2018,NYJ,14,37,371,10.03,26.5,29,1,20,76,125,29,0,Jermaine Kearse 2018
Kenny Stills,2018,MIA,15,37,553,14.95,36.9,75t,6,27,64,131,75,1,Kenny Stills 2018
Taywan Taylor,2018,TEN,13,37,466,12.59,35.9,55,1,19,56,161,55,0,Taywan Taylor 2018
Ryan Switzer,2018,PIT,16,36,253,7.03,15.8,24,1,15,44,137,24,0,Ryan Switzer 2018
Ian Thomas,2018,CAR,16,36,333,9.25,20.8,31,2,20,49,158,31,0,Ian Thomas 2018
Javorius Allen,2018,BAL,14,35,196,5.6,14,17,2,11,43,177,17,0,Javorius Allen 2018
Giovani Bernard,2018,CIN,12,35,218,6.23,18.2,26,0,8,48,222,26,0,Giovani Bernard 2018
Ryan Grant,2018,IND,14,35,334,9.54,23.9,23,1,18,52,93,23,0,Ryan Grant 2018
Chris Hogan,2018,NE,16,35,532,15.2,33.2,63t,3,22,55,193,63,1,Chris Hogan 2018
Marvin Jones,2018,DET,9,35,508,14.51,56.4,39t,5,27,62,101,39,1,Marvin Jones 2018
Phillip Lindsay,2018,DEN,15,35,241,6.89,16.1,29t,1,12,47,298,29,1,Phillip Lindsay 2018
Laquon Treadwell,2018,MIN,15,35,302,8.63,20.1,22,1,16,53,120,22,0,Laquon Treadwell 2018
Benjamin Watson,2018,NO,16,35,400,11.43,25,32,2,21,46,87,32,0,Benjamin Watson 2018
Mark Andrews,2018,BAL,16,34,552,16.24,34.5,74,3,28,50,193,74,0,Mark Andrews 2018
Mike Davis,2018,SEA,15,34,214,6.29,14.3,18,1,10,42,235,18,0,Mike Davis 2018
O.J. Howard,2018,TB,10,34,565,16.62,56.5,75t,5,28,48,209,75,1,O.J. Howard 2018
LeSean McCoy,2018,BUF,14,34,238,7,17,24,0,10,46,288,24,0,LeSean McCoy 2018
Ricky Seals-Jones,2018,ARI,15,34,343,10.09,22.9,40,1,14,69,97,40,0,Ricky Seals-Jones 2018
Gerald Everett,2018,LA,16,33,320,9.7,20,40t,3,17,50,144,40,1,Gerald Everett 2018
Michael Gallup,2018,DAL,16,33,507,15.36,31.7,49t,2,21,68,173,49,1,Michael Gallup 2018
Dallas Goedert,2018,PHI,16,33,334,10.12,20.9,32t,4,15,44,161,32,1,Dallas Goedert 2018
Anthony Miller,2018,CHI,15,33,423,12.82,28.2,55,7,19,54,170,55,0,Anthony Miller 2018
Tevin Coleman,2018,ATL,16,32,276,8.63,17.2,39t,5,15,44,275,39,1,Tevin Coleman 2018
Chris Conley,2018,KC,16,32,334,10.44,20.9,27,5,18,52,140,27,0,Chris Conley 2018
Phillip Dorsett,2018,NE,16,32,290,9.06,18.1,20,3,17,42,100,20,0,Phillip Dorsett 2018
Will Fuller,2018,HOU,7,32,503,15.72,71.9,73t,4,23,45,166,73,1,Will Fuller 2018
Kerryon Johnson,2018,DET,10,32,213,6.66,21.3,24,1,11,39,267,24,0,Kerryon Johnson 2018
Bruce Ellington,2018,HOU/DET,7,31,224,7.23,32,23,1,14,42,108,23,0,Bruce Ellington 2018
Jeff Heuerman,2018,DEN,11,31,281,9.06,25.6,36,2,14,48,150,36,0,Jeff Heuerman 2018
Cameron Brate,2018,TB,16,30,289,9.63,18.1,21,6,18,49,51,21,0,Cameron Brate 2018
DaeSean Hamilton,2018,DEN,14,30,243,8.1,17.4,24,2,16,46,62,24,0,DaeSean Hamilton 2018
Jesse James,2018,PIT,16,30,423,14.1,26.4,51,2,17,39,185,51,0,Jesse James 2018
Kyle Juszczyk,2018,SF,16,30,324,10.8,20.2,56,1,15,41,175,56,0,Kyle Juszczyk 2018
Jamison Crowder,2018,WAS,9,29,388,13.38,43.1,79t,2,15,49,211,79,1,Jamison Crowder 2018
Josh Reynolds,2018,LA,16,29,402,13.86,25.1,33,5,23,53,129,33,0,Josh Reynolds 2018
Nick Vannett,2018,SEA,15,29,269,9.28,17.9,32,3,17,43,138,32,0,Nick Vannett 2018
Keke Coutee,2018,HOU,6,28,287,10.25,47.8,40,1,13,41,210,40,0,Keke Coutee 2018
Antonio Gates,2018,LAC,16,28,333,11.89,20.8,27,2,19,45,126,27,0,Antonio Gates 2018
Maurice Harris,2018,WAS,12,28,304,10.86,25.3,42,0,12,47,100,42,0,Maurice Harris 2018
Dontrelle Inman,2018,IND,9,28,304,10.86,33.8,29,3,16,39,58,29,0,Dontrelle Inman 2018
Wendell Smallwood,2018,PHI,16,28,230,8.21,14.4,36t,2,9,35,226,36,1,Wendell Smallwood 2018
Tre'Quan Smith,2018,NO,15,28,427,15.25,28.5,62t,5,23,44,116,62,1,Tre'Quan Smith 2018
Matt Breida,2018,SF,14,27,261,9.67,18.6,26,2,12,31,235,26,0,Matt Breida 2018
Robert Foster,2018,BUF,13,27,541,20.04,41.6,75t,3,20,44,167,75,1,Robert Foster 2018
Blake Jarwin,2018,DAL,16,27,307,11.37,19.2,39t,3,16,36,110,39,1,Blake Jarwin 2018
Greg Olsen,2018,CAR,9,27,291,10.78,32.3,23,4,18,38,84,23,0,Greg Olsen 2018
Zach Pascal,2018,IND,16,27,268,9.93,16.8,28,2,15,46,81,28,0,Zach Pascal 2018
Dante Pettis,2018,SF,12,27,467,17.3,38.9,75t,5,19,45,205,75,1,Dante Pettis 2018
Ito Smith,2018,ATL,14,27,152,5.63,10.9,20,0,9,32,160,20,0,Ito Smith 2018
Jamaal Williams,2018,GB,16,27,210,7.78,13.1,26,0,11,41,229,26,0,Jamaal Williams 2018
Jack Doyle,2018,IND,6,26,245,9.42,40.8,20,2,14,33,108,20,0,Jack Doyle 2018
Kareem Hunt,2018,KC,11,26,378,14.54,34.4,67t,7,17,35,338,67,1,Kareem Hunt 2018
Aaron Jones,2018,GB,12,26,206,7.92,17.2,24t,1,12,35,221,24,1,Aaron Jones 2018
David Moore,2018,SEA,16,26,445,17.12,27.8,54,5,19,53,93,54,0,David Moore 2018
Jaylen Samuels,2018,PIT,14,26,199,7.65,14.2,23,3,10,29,215,23,0,Jaylen Samuels 2018
Tajae Sharpe,2018,TEN,16,26,316,12.15,19.8,28,2,22,47,74,28,0,Tajae Sharpe 2018
Geoff Swaim,2018,DAL,9,26,242,9.31,26.9,43,1,11,32,164,43,0,Geoff Swaim 2018
Trent Taylor,2018,SF,14,26,215,8.27,15.4,23,1,11,40,101,23,0,Trent Taylor 2018
Albert Wilson,2018,MIA,7,26,391,15.04,55.9,75t,4,11,35,335,75,1,Albert Wilson 2018
Kelvin Benjamin,2018,BUF/KC,15,25,380,15.2,25.3,40,1,16,67,64,40,0,Kelvin Benjamin 2018
Vernon Davis,2018,WAS,14,25,367,14.68,26.2,53t,2,16,36,175,53,1,Vernon Davis 2018
Rhett Ellison,2018,NYG,14,25,272,10.88,19.4,29,1,13,34,130,29,0,Rhett Ellison 2018
Lamar Miller,2018,HOU,14,25,163,6.52,11.6,16,1,8,35,171,16,0,Lamar Miller 2018
Ty Montgomery,2018,GB/BAL,13,25,235,9.4,18.1,43,0,7,40,213,43,0,Ty Montgomery 2018
Pierre Garcon,2018,SF,8,24,286,11.92,35.8,25,1,14,46,98,25,0,Pierre Garcon 2018
Ryan Griffin,2018,HOU,14,24,305,12.71,21.8,47,0,15,43,150,47,0,Ryan Griffin 2018
Tyler Higbee,2018,LA,16,24,292,12.17,18.2,36,2,16,34,137,36,0,Tyler Higbee 2018
Matt LaCosse,2018,DEN,15,24,250,10.42,16.7,44,1,11,37,148,44,0,Matt LaCosse 2018
James O'Shaughnessy,2018,JAX,14,24,214,8.92,15.3,17,0,10,38,122,17,0,James O'Shaughnessy 2018
DeVante Parker,2018,MIA,11,24,309,12.88,28.1,46,1,14,47,94,46,0,DeVante Parker 2018
Nick Boyle,2018,BAL,16,23,213,9.26,13.3,25,0,10,37,140,25,0,Nick Boyle 2018
Marquise Goodwin,2018,SF,11,23,395,17.17,35.9,67t,4,19,44,126,67,1,Marquise Goodwin 2018
Tim Patrick,2018,DEN,16,23,315,13.7,19.7,26,1,15,41,112,26,0,Tim Patrick 2018
Damien Williams,2018,KC,16,23,160,6.96,10,32,2,9,24,208,32,0,Damien Williams 2018
DeAndre Carter,2018,PHI/HOU,14,22,216,9.82,15.4,50,0,10,25,150,50,0,DeAndre Carter 2018
Corey Clement,2018,PHI,11,22,192,8.73,17.4,23,0,10,25,264,23,0,Corey Clement 2018
Jason Croom,2018,BUF,15,22,259,11.77,17.3,26t,1,10,35,137,26,1,Jason Croom 2018
Leonard Fournette,2018,JAX,8,22,185,8.41,23.1,31,1,10,26,213,31,0,Leonard Fournette 2018
Mike Gesicki,2018,MIA,16,22,202,9.18,12.6,27,0,9,32,96,27,0,Mike Gesicki 2018
Latavius Murray,2018,MIN,16,22,141,6.41,8.8,16,0,7,26,115,16,0,Latavius Murray 2018
Demarcus Robinson,2018,KC,16,22,288,13.09,18,89t,4,12,33,116,89,1,Demarcus Robinson 2018
Charles Clay,2018,BUF,13,21,184,8.76,14.2,21,0,11,36,71,21,0,Charles Clay 2018
Isaiah Crowell,2018,NYJ,13,21,152,7.24,11.7,21,0,7,28,173,21,0,Isaiah Crowell 2018
Jakeem Grant,2018,MIA,10,21,268,12.76,26.8,52t,2,13,34,140,52,1,Jakeem Grant 2018
Mark Ingram,2018,NO,12,21,170,8.1,14.2,28t,1,5,27,155,28,1,Mark Ingram 2018
Cordarrelle Patterson,2018,NE,15,21,247,11.76,16.5,55t,3,11,28,162,55,1,Cordarrelle Patterson 2018
John Ross,2018,CIN,13,21,210,10,16.1,39t,7,13,58,59,39,1,John Ross 2018
Equanimeous St. Brown,2018,GB,12,21,328,15.62,27.3,54,0,13,36,120,54,0,Equanimeous St. Brown 2018
Levine Toilolo,2018,DET,16,21,263,12.52,16.4,39,1,16,24,110,39,0,Levine Toilolo 2018
Geronimo Allison,2018,GB,5,20,303,15.15,60.6,64t,2,11,30,106,64,1,Geronimo Allison 2018
Peyton Barber,2018,TB,16,20,92,4.6,5.8,10,1,4,29,64,10,0,Peyton Barber 2018
Alfred Blue,2018,HOU,16,20,154,7.7,9.6,28,0,4,27,107,28,0,Alfred Blue 2018
Chris Carson,2018,SEA,14,20,163,8.15,11.6,27,0,7,24,163,27,0,Chris Carson 2018
Nick Chubb,2018,CLE,16,20,149,7.45,9.3,24,2,5,29,176,24,0,Nick Chubb 2018
Chase Edmonds,2018,ARI,16,20,103,5.15,6.4,13,0,5,23,121,13,0,Chase Edmonds 2018
Alex Erickson,2018,CIN,16,20,167,8.35,10.4,28,0,7,29,98,28,0,Alex Erickson 2018
Jordan Howard,2018,CHI,16,20,145,7.25,9.1,18,0,7,27,127,18,0,Jordan Howard 2018
Allen Hurns,2018,DAL,16,20,295,14.75,18.4,49,2,11,35,78,49,0,Allen Hurns 2018
Jordan Matthews,2018,PHI,14,20,300,15,21.4,56t,2,14,28,83,56,1,Jordan Matthews 2018
Adrian Peterson,2018,WAS,16,20,208,10.4,13,52,1,9,26,201,52,0,Adrian Peterson 2018
Paul Richardson,2018,WAS,7,20,262,13.1,37.4,46t,2,12,35,46,46,1,Paul Richardson 2018
Jonnu Smith,2018,TEN,13,20,258,12.9,19.9,61t,3,10,30,180,61,1,Jonnu Smith 2018
Jordan Thomas,2018,HOU,16,20,215,10.75,13.4,39,4,12,27,95,39,0,Jordan Thomas 2018
Spencer Ware,2018,KC,13,20,224,11.2,17.2,31,0,9,23,245,31,0,Spencer Ware 2018
Martavis Bryant,2018,OAK,8,19,266,14,33.2,47,0,10,27,131,47,0,Martavis Bryant 2018
Anthony Firkser,2018,TEN,12,19,225,11.84,18.8,28,1,12,20,97,28,0,Anthony Firkser 2018
Virgil Green,2018,LAC,16,19,210,11.05,13.1,26,1,10,27,102,26,0,Virgil Green 2018
T.J. Jones,2018,DET,15,19,190,10,12.7,26,2,10,27,36,26,0,T.J. Jones 2018
Lance Kendricks,2018,GB,16,19,170,8.95,10.6,22,1,9,25,112,22,0,Lance Kendricks 2018
Elijah McGuire,2018,NYJ,8,19,193,10.16,24.1,20t,1,10,31,159,20,1,Elijah McGuire 2018
Chris Moore,2018,BAL,16,19,196,10.32,12.2,30,1,8,25,65,30,0,Chris Moore 2018
Trent Sherfield,2018,ARI,13,19,210,11.05,16.1,21,1,11,28,38,21,0,Trent Sherfield 2018
Doug Martin,2018,OAK,16,18,116,6.44,7.2,23,0,6,24,94,23,0,Doug Martin 2018
Isaiah McKenzie,2018,BUF,7,18,179,9.94,25.6,23,0,10,30,76,23,0,Isaiah McKenzie 2018
Jordan Akins,2018,HOU,16,17,225,13.24,14.1,28,0,11,25,123,28,0,Jordan Akins 2018
Trenton Cannon,2018,NYJ,16,17,144,8.47,9,35,0,4,25,118,35,0,Trenton Cannon 2018
Ted Ginn Jr.,2018,NO,5,17,209,12.29,41.8,42,2,10,30,48,42,0,Ted Ginn Jr. 2018
Marlon Mack,2018,IND,12,17,103,6.06,8.6,29t,1,3,26,126,29,1,Marlon Mack 2018
Aldrick Robinson,2018,MIN,14,17,231,13.59,16.5,40t,5,12,35,42,40,1,Aldrick Robinson 2018
Torrey Smith,2018,CAR,11,17,190,11.18,17.3,35,2,12,31,48,35,0,Torrey Smith 2018
Deonte Thompson,2018,DAL/BUF,13,17,161,9.47,12.4,15,0,10,30,38,15,0,Deonte Thompson 2018
Chad Williams,2018,ARI,10,17,171,10.06,17.1,22t,1,9,46,16,22,1,Chad Williams 2018
Kapri Bibbs,2018,WAS/GB,12,16,115,7.19,9.6,23t,1,4,23,108,23,1,Kapri Bibbs 2018
Bennie Fowler,2018,NYG,10,16,199,12.44,19.9,26,1,12,27,76,26,0,Bennie Fowler 2018
Josh Hill,2018,NO,16,16,185,11.56,11.6,23,1,11,24,170,23,0,Josh Hill 2018
Breshad Perriman,2018,CLE,10,16,340,21.25,34,66,2,13,25,75,66,0,Breshad Perriman 2018
Terrelle Pryor,2018,NYJ/BUF,8,16,252,15.75,31.5,44,2,11,30,62,44,0,Terrelle Pryor 2018
James Washington,2018,PIT,14,16,217,13.56,15.5,47,1,11,38,53,47,0,James Washington 2018
Jordan Wilkins,2018,IND,16,16,85,5.31,5.3,17,0,2,17,105,17,0,Jordan Wilkins 2018
Maxx Williams,2018,BAL,13,16,143,8.94,11,25,1,7,17,97,25,0,Maxx Williams 2018
Marcell Ateman,2018,OAK,7,15,154,10.27,22,32,1,7,31,31,32,0,Marcell Ateman 2018
Alex Collins,2018,BAL,10,15,105,7,10.5,24,1,6,21,97,24,0,Alex Collins 2018
Tyler Eifert,2018,CIN,4,15,179,11.93,44.8,29,1,10,19,54,29,0,Tyler Eifert 2018
Derrick Henry,2018,TEN,16,15,99,6.6,6.2,21,0,4,18,115,21,0,Derrick Henry 2018
Justin Jackson,2018,LAC,13,15,135,9,10.4,19,0,5,19,152,19,0,Justin Jackson 2018
Marshawn Lynch,2018,OAK,6,15,84,5.6,14,17,0,6,20,90,17,0,Marshawn Lynch 2018
Darren Sproles,2018,PHI,6,15,160,10.67,26.7,37t,2,6,23,127,37,1,Darren Sproles 2018
Luke Stocker,2018,TEN,16,15,165,11,10.3,31,2,10,21,64,31,0,Luke Stocker 2018
Josh Bellamy,2018,CHI,16,14,117,8.36,7.3,20t,1,8,25,46,20,1,Josh Bellamy 2018
Jaron Brown,2018,SEA,16,14,166,11.86,10.4,45,5,9,19,46,45,0,Jaron Brown 2018
Rex Burkhead,2018,NE,8,14,131,9.36,16.4,25,1,4,20,121,25,0,Rex Burkhead 2018
D.J. Chark,2018,JAX,11,14,174,12.43,15.8,38,0,6,32,45,38,0,D.J. Chark 2018
Royce Freeman,2018,DEN,14,14,72,5.14,5.1,9,0,2,20,59,9,0,Royce Freeman 2018
Wayne Gallman,2018,NYG,15,14,89,6.36,5.9,21,0,5,22,81,21,0,Wayne Gallman 2018
